Congregate Meals,Home Meals,NFCSP,Preventive Services,Supportive Services,pop60,scenarioId,scenario,scenarioDesc,State,Year,Total Title III,id
231698,98530,126137,21566,21566,44013,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Nevada,2018,912490,32
39717,44811,21778,-406,-406,20644,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,New Hampshire,2018,97551,33
-133611,228115,18195,-48525,-48525,86476,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,New Jersey,2018,-742032,34
200892,86881,70951,10586,10586,26881,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,New Mexico,2018,602500,35
-2450729,409990,-3351,-117159,-117159,174412,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,New York,2018,-5631520,36
601200,235870,222125,47607,47607,124119,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,North Carolina,2018,2157215,37
39717,44811,21778,-406,-406,6438,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,North Dakota,2018,97551,38
126486,256671,44292,-52470,-52470,109975,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Ohio,2018,-486750,39
39219,76658,20009,-14736,-14736,34391,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Oklahoma,2018,-142143,40
364814,154565,157139,23747,23747,68982,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Oregon,2018,1211742,41
-1906378,306354,-178044,-97488,-97488,129915,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Pennsylvania,2018,-4545800,42
39717,44811,21778,-406,-406,11560,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Rhode Island,2018,97551,44
418205,176144,186455,32843,32843,77456,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,South Carolina,2018,1499589,45
39717,44811,21778,-406,-406,9754,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,South Dakota,2018,97551,46
452960,182851,165219,10501,10501,76570,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Tennessee,2018,1151952,47
1745933,735897,843455,114097,114097,330181,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Texas,2018,5907559,48
190594,82415,72094,15569,15569,34952,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Utah,2018,676466,49
39717,44811,21778,-406,-406,9178,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Vermont,2018,97551,50
587280,242777,253761,18366,18366,103328,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Virginia,2018,1605869,51
512670,212058,280838,39058,39058,98191,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Washington,2018,1877784,53
-298984,38094,23424,-10483,-10483,18567,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,West Virginia,2018,-660781,54
410324,166096,51410,-7290,-7290,74801,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Wisconsin,2018,598832,55
39717,44811,21778,-406,-406,9559,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Wyoming,2018,97551,56
336891,135537,84760,-10115,-10115,51692,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Alabama,2019,495186,1
39612,44811,21778,-406,-406,8997,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Alaska,2019,97363,2
519248,214340,24362,40863,40863,108495,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Arizona,2019,1666396,4
36797,64925,5200,-12457,-12457,26341,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Arkansas,2019,-112761,5
2745159,1153975,790492,53426,53426,503881,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,California,2019,6479177,6
433005,186193,280956,49010,49010,89247,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Colorado,2019,1903355,8
-169539,75023,-12803,-20378,-20378,28393,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Connecticut,2019,-553000,9
39612,44811,21778,-406,-406,13321,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Delaware,2019,97363,10
39612,44811,21778,-406,-406,3229,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,District of Columbia,2019,97363,11
1809233,748041,-636510,-4122,-4122,325419,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Florida,2019,2429649,12
710756,299911,440786,64823,64823,138625,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Georgia,2019,2834250,13
39612,44811,21778,-406,-406,18516,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Hawaii,2019,97363,15
39612,44811,21778,-406,-406,29224,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Idaho,2019,97363,16
-713638,287748,112966,-55096,-55096,127686,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Illinois,2019,-1889706,17
380637,147865,80598,-15268,-15268,67955,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Indiana,2019,487010,18
-617872,66024,-55383,-20188,-20188,26889,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Iowa,2019,-1382508,19
-232028,85129,11891,-8969,-8969,33494,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Kansas,2019,-549438,20
244828,92809,92101,-7280,-7280,45012,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Kentucky,2019,404860,21
271354,112200,115999,-15322,-15322,49020,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Louisiana,2019,327100,22
53094,40296,26312,1,1,18318,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Maine,2019,121727,23
374398,150226,154891,626,626,70827,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Maryland,2019,826799,24
-434472,176677,46324,-22735,-22735,77624,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Massachusetts,2019,-1110344,25
682648,272614,156171,-21412,-21412,116847,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Michigan,2019,975923,26
335292,132586,47566,2025,2025,66176,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Minnesota,2019,680315,27
26437,57205,37979,-10599,-10599,26034,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Mississippi,2019,-89612,28
54806,153745,16613,-19626,-19626,61282,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Missouri,2019,-230205,29
39612,44811,21778,-406,-406,15210,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Montana,2019,97363,30
-263019,33924,-13239,-7519,-7519,16724,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Nebraska,2019,-600986,31
231697,98530,126137,21566,21566,44013,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Nevada,2019,912489,32
39612,44811,21778,-406,-406,20644,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,New Hampshire,2019,97363,33
-133612,228115,18195,-48525,-48525,86476,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,New Jersey,2019,-742033,34
200892,86881,70950,10586,10586,26881,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,New Mexico,2019,602499,35
-2450730,409988,-3352,-117161,-117161,174412,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,New York,2019,-5631528,36
601200,235869,222124,47606,47606,124119,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,North Carolina,2019,2157211,37
39612,44811,21778,-406,-406,6438,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,North Dakota,2019,97363,38
126485,256670,44291,-52471,-52471,109975,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Ohio,2019,-486755,39
39219,76657,20008,-14736,-14736,34391,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Oklahoma,2019,-142145,40
364814,154564,157139,23747,23747,68982,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Oregon,2019,1211741,41
-1906379,306353,-178045,-97489,-97489,129915,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Pennsylvania,2019,-4545805,42
39612,44811,21778,-406,-406,11560,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Rhode Island,2019,97363,44
418204,176144,186455,32843,32843,77456,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,South Carolina,2019,1499587,45
39612,44811,21778,-406,-406,9754,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,South Dakota,2019,97363,46
452960,182851,165219,10501,10501,76570,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Tennessee,2019,1151952,47
1745932,735896,843454,114096,114096,330181,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Texas,2019,5907554,48
190594,82415,72094,15569,15569,34952,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Utah,2019,676466,49
39612,44811,21778,-406,-406,9178,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Vermont,2019,97363,50
587279,242777,253760,18365,18365,103328,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Virginia,2019,1605866,51
512669,212057,280838,39058,39058,98191,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Washington,2019,1877781,53
-298984,38094,23424,-10483,-10483,18567,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,West Virginia,2019,-660781,54
410324,166096,51409,-7290,-7290,74801,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Wisconsin,2019,598830,55
39612,44811,21778,-406,-406,9559,1,Allocation proportional to the share of senior pop,Following the Seniors allocates the OAA funding based on the proportion of Seniors living in each State. States with growing populations will experience increased funding while States with shrinking populations will lose funding in the future.,Wyoming,2019,97363,56
138874,123377,62572,-1284,-1284,51692,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Alabama,2016,301582,1
41305,44812,21779,-405,-405,8997,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Alaska,2016,100395,2
334288,244444,166299,-1561,-1561,108495,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Arizona,2016,716759,4
0,65809,35658,-815,-815,26341,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Arkansas,2016,86426,5
1461781,1103099,556180,-8216,-8216,503881,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,California,2016,2972324,6
235470,170355,85585,-987,-987,89247,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Colorado,2016,473540,8
0,77592,29197,-1006,-1006,28393,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Connecticut,2016,87886,9
41305,44812,21779,-405,-405,13321,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Delaware,2016,100395,10
41305,44812,21779,-405,-405,3229,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,District of Columbia,2016,100395,11
957029,742230,449206,-6001,-6001,325419,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Florida,2016,2039812,12
368228,278615,158617,-1879,-1879,138625,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Georgia,2016,771441,13
41305,44812,21779,-405,-405,18516,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Hawaii,2016,100395,15
41305,44812,21779,-405,-405,29224,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Idaho,2016,100395,16
0,288186,107145,-3241,-3241,127686,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Illinois,2016,333068,17
177533,157902,61639,-1645,-1645,67955,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Indiana,2016,367279,18
0,71797,19667,-895,-895,26889,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Iowa,2016,73255,19
0,68043,25274,-739,-739,33494,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Kansas,2016,78629,20
125020,110584,49917,-1127,-1127,45012,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Kentucky,2016,265128,21
128299,116460,47448,-1139,-1139,49020,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Louisiana,2016,271580,22
41305,44667,21779,-406,-406,18318,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Maine,2016,100249,23
176792,149349,75862,-1392,-1392,70827,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Maryland,2016,376810,24
0,163222,64991,-1794,-1794,77624,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Massachusetts,2016,193061,25
286087,255432,104130,-2673,-2673,116847,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Michigan,2016,597238,26
179600,147666,60562,-1306,-1306,66176,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Minnesota,2016,364174,27
0,71581,32502,-756,-756,26034,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Mississippi,2016,90028,28
0,146593,66873,-1631,-1631,61282,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Missouri,2016,182909,29
41305,44812,21779,-405,-405,15210,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Montana,2016,100395,30
0,43815,14389,-481,-481,16724,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Nebraska,2016,48397,31
143101,101652,64259,-585,-585,44013,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Nevada,2016,298425,32
41305,44812,21779,-405,-405,20644,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,New Hampshire,2016,100395,33
0,199381,75811,-2393,-2393,86476,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,New Jersey,2016,231095,34
70119,58011,34120,-491,-491,26881,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,New Mexico,2016,153363,35
0,410494,146723,-5304,-5304,174412,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,New York,2016,453236,36
369176,291986,165327,-2225,-2225,124119,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,North Carolina,2016,786194,37
41305,44812,21779,-405,-405,6438,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,North Dakota,2016,100395,38
0,278968,89838,-3220,-3220,109975,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Ohio,2016,309441,39
0,84417,43297,-992,-992,34391,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Oklahoma,2016,109337,40
177442,136085,69698,-982,-982,68982,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Oregon,2016,365443,41
0,299708,89526,-3925,-3925,129915,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Pennsylvania,2016,312654,42
41305,44812,21779,-405,-405,11560,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Rhode Island,2016,100395,44
224189,168316,98442,-1138,-1138,77456,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,South Carolina,2016,470339,45
41305,44812,21779,-405,-405,9754,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,South Dakota,2016,100395,46
208132,176071,94375,-1606,-1606,76570,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Tennessee,2016,449501,47
997424,733780,384882,-4828,-4828,330181,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Texas,2016,2028663,48
89968,67213,32841,-443,-443,34952,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Utah,2016,181994,49
41305,44812,21779,-405,-405,9178,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Vermont,2016,100395,50
268180,218964,120623,-1868,-1868,103328,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Virginia,2016,573940,51
291885,220919,117999,-1533,-1533,98191,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Washington,2016,603060,53
0,42217,14638,-590,-590,18567,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,West Virginia,2016,44994,54
184350,156648,59366,-1508,-1508,74801,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Wisconsin,2016,372888,55
41305,44812,21779,-405,-405,9559,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Wyoming,2016,100395,56
204833,136761,39841,-4398,-4398,51692,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Alabama,2017,301821,1
19112,33608,14324,-1388,-1388,8997,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Alaska,2017,41347,2
335401,216044,132925,10896,10896,108495,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Arizona,2017,889190,4
-41636,65677,21234,-2793,-2793,26341,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,Arkansas,2017,-6251,5
1848511,1162285,479325,-28141,-28141,503881,2,Hold Harmless Provision - Reauthorization,The Current Senate Bill reformulates the Hold Harmless Clause. Worst case States will receive 99% of their current funding.,California,2017,2980642,6
